╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
кLдf░╧,й╨жa(дgжa+л╪кл),╖sе_елкLдf░╧─R╢щдG╡є1л╤1~30╕╣,22.85,жэ,,,1050330,дgжa1л╪кл1иожь0,дG╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0730518,95.98,2,1,1,ж│,ж│,4950000,51573,,0.0,0,╢зеxе~▒└.╝pй╨е~▒└,RPROMLOJNHLFFBF08CA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧дден╕Ї198л╤1~30╕╣,20.99,жэ,,,1050319,дgжa1л╪кл1иожь0,дн╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850319,130.53,3,2,2,ж│,ж│,12250000,93848,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPTRMLOJNHLFFBF58CA
кLдf░╧,й╨жa(дgжa+л╪кл),╖sе_елкLдf░╧дхд╞дG╕Їд@мq120л╤1~30╕╣,21.27,жэ,,,1050329,дgжa1л╪кл1иожь0,дQдT╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840224,108.16,3,2,2,ж│,ж│,8330000,77016,,0.0,0,,RPWNMLPJNHLFFBF58CA
кLдf░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елкLдf░╧дхкLдG╡є1~30╕╣,25.08,жэ,,,1050414,дgжa1л╪кл1иожь1,дE╝h,дQ╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040108,121.0,2,2,1,ж│,ж│,7950000,72099,йY╣Dенн▒,31.54,1500000,,RPSSMLKKNHLFFBF28CA
кLдf░╧,дgжa,и╬кLмq571~600жa╕╣,327.63,жэ,,,1050426,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,35000000,106828,,0.0,0,,RPTNMLKKNHLFFBF87CA
╖s▓°░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел╖s▓°░╧└sжw╕Ї61~90╕╣,11.05,жэ,,,1050323,дgжa1л╪кл1иожь1,дQд@╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1021216,134.35000000000002,2,1,1,ж│,ж│,13700000,101972,йY╣Dенн▒,31.77,0,,RPQUMLKKNHLFFBF28CA
кLдf░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елкLдf░╧лH╕q╕Ї271~300╕╣,10.23,░╙,,,1050413,дgжa1л╪кл1иожь1,е|╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980604,125.28999999999999,2,1,1,ж│,ж│,8200000,65448,йY╣Dенн▒,30.1,0,,RPVOMLMKNHLFFBF38CA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧лс┤фд@╕Ї76л╤12з╦1~30╕╣,37.82,жэ,,,1050411,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0781014,143.28,4,2,2,ж│,╡L,9500000,66304,,0.0,0,╝Wл╪:╢зеxе~▒└(лe╢зеx)к■├╪:зNоЁ5иу,RPPNMLSKNHLFFBF28CA
╖s▓°░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел╖s▓°░╧║a╡╪╕Їд@мq31~60╕╣,30.11,жэ,,,1050420,дgжa2л╪кл1иожь1,дQд@╝hбAдQдG╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031230,206.12,3,1,2,ж│,ж│,31670000,157329,д╔н░╛ў▒ё,12.45,1200000,,RPWRMLSKNHLFFBF76CA
╖s▓°░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖s▓°░╧ж█▒j╡є1~30╕╣,48.18,жэ,,,1050224,дgжa1л╪кл2иожь0,дG╝hбA╢зеx,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0641128,156.0,3,1,1,ж│,╡L,7660000,49103,,0.0,0,дўдkдз╢б╢R╜ц,RPPUMLPLNHLFFBF78CA
днк╤░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елднк╤░╧╖sл░д╗╕Ї241~270╕╣,18.86,жэ,,,1050331,дgжa1л╪кл1иожь1,дQдG╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040305,126.4,3,2,1,ж│,ж│,10360000,81962,йY╣Dенн▒,28.24,0,,RPWNMLRLNHLFFBF98CA
днк╤░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елднк╤░╧╖sл░д╗╕Ї241~270╕╣,19.55,жэ,,,1050326,дgжa1л╪кл1иожь1,дG╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040305,130.44,3,2,1,ж│,ж│,10680000,81877,йY╣Dенн▒,28.24,0,,RPXNMLRLNHLFFBF09CA
╖sй▒░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖sй▒░╧╣F╞[╕Ї31~60╕╣,31.22,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1050406,дgжa1л╪кл1иожь0,дQ╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880309,66.71,2,2,1,ж│,ж│,4200000,62959,,0.0,0,,RPPNMLOJNHLFFCF87CA
йWкL░╧,дgжa,йWкLмqпQ╕]дlдpмq1~30жa╕╣,339.0,ифеL,,,1050418,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,350000,1032,,0.0,0,,RPRNMLPJNHLFFCF18CA
╖sй▒░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖sй▒░╧─_╛Ї╕Ї78л╤91~120╕╣,13.78,жэ,,,1050319,дgжa1л╪кл1иожь0,е|╝h,дGдQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020829,138.26999999999998,3,2,2,ж│,ж│,18100000,130903,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPPOMLPJNHLFFCF08CA
╖sй▒░╧,й╨жa(дgжa+л╪кл),╖sе_ел╖sй▒░╧║╤╝ц╕Ї77л╤1~30╕╣,4.99,жэ,,,1050414,дgжa6л╪кл1иожь0,дC╝h,дQдK╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0880917,43.98,1,1,1,ж│,ж│,5500000,125057,,0.0,0,ж│╝Wл╪-╢зеxе~▒└,RPOOMLLKNHLFFCF67CA
▓`з|░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓`з|░╧╗Aиж╡є83л╤1~30╕╣,33.5,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050420,дgжa1л╪кл1иожь0,дG╝h,дG╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,е[▒j┐j│y,,47.06,1,0,1,ж│,╡L,3200000,67998,,0.0,0,,RPSNMLTKNHLFFCF78CA
ж┴дю░╧,й╨жa(дgжa+л╪кл),╖sе_елж┴дю░╧╗Aоp╡є1~30╕╣,9.05,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050328,дgжa2л╪кл1иожь0,дG╝h,дQе|╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0711013,39.29,1,1,1,ж│,ж│,2550000,64902,,0.0,0,,RPQOMLMJNHLFFDF97CA
ж┴дю░╧,й╨жa(дgжa+л╪кл),╖sе_елж┴дю░╧дjжP╕ЇдTмq601~630╕╣,3.91,жэ,,,1050325,дgжa1л╪кл1иожь0,дGдQе|╝h,дTдQдG╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0880203,41.71,1,1,1,ж│,ж│,1710000,40997,,0.0,0,,RPOPMLNJNHLFFDF97CA
ж┴дю░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елж┴дю░╧л╪жи╕Ї1~30╕╣,15.63,жэ,,,1050406,дgжa1л╪кл1иожь1,дQ╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850624,127.75999999999999,3,2,1,ж│,ж│,9250000,72401,йY╣Dенн▒,0.0,0,,RPUNMLPJNHLFFDF58CA
ж┴дю░╧,й╨жa(дgжa+л╪кл),╖sе_елж┴дю░╧║╓╝wдG╕Ї211~240╕╣,161.33,дu,,,1050318,дgжa2л╪кл2иожь0,д@╝hбA├M╝╙бA░▒ио│їбAжaдU╝h,дн╝h,й▒н▒(й▒╛Q),дu╖~е╬,┐√╡м▓V╛одg│y,0780506,799.32,0,0,0,╡L,ж│,66000000,82570,,0.0,0,,RPSNMLQJNHLFFDF48CA
ж┴дю░╧,й╨жa(дgжa+л╪кл),╖sе_елж┴дю░╧ж┴╕U╕ЇдGмq66л╤111з╦1~30╕╣,44.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050326,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0710220,99.4,4,2,3,ж│,ж│,3700000,37223,,0.0,0,,RPXNMLQLNHLFFDF56CA
дKи╜░╧,дgжa,дjдKи╜╩ммqдj╘│┤Єдpмq271~300жa╕╣,2645.0,ифеL,,,1050412,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,24003375,9075,,0.0,0,,RPVPMLNJNHLFFEF78CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓HдЇ░╧╛╟й▓╕Ї136л╤31~60╕╣,7.1,жэ,,,1050315,дgжa1л╪кл1иожь0,д╗╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0961002,33.84,1,1,1,ж│,ж│,2220000,65603,,0.0,0,,RPOPMLPJNHLFFEF28CA
дKи╜░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елдKи╜░╧дд╡╪╕ЇдGмq451~480╕╣,18.26,жэ,,,1050330,дgжa1л╪кл1иожь1,д╗╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0871014,171.17000000000002,4,2,3,ж│,ж│,7500000,43816,йY╣Dенн▒,0.0,0,,RPUNMLOJNHLFFEF58CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел▓HдЇ░╧╕qдs╕Їд@мq181~210╕╣,26.16,жэ,,,1050314,дgжa1л╪кл1иожь1,дQе|╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040316,179.29,3,2,2,ж│,ж│,9700000,56643,йY╣Dенн▒,30.11,1250000,е╗╢R╜ц┴`╗∙970╕U(д║зtиожь╗∙┤┌125╕U)бAдgжa┤┌:670╕UбBй╨л╬┤┌:300╕UбC,RPWQMLTJNHLFFEF96CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел▓HдЇ░╧╕qдs╕Їд@мq181~210╕╣,26.68,жэ,,,1050314,дgжa1л╪кл1иожь1,дн╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040316,182.7,3,2,2,ж│,ж│,9750000,55377,йY╣Dенн▒,30.11,1300000,е╗╢R╜ц┴`╗∙975╕U(д║зtиожь╗∙┤┌130╕U)бAдgжa┤┌:673╕UбBй╨л╬┤┌:302╕UбC,RPORMLTJNHLFFEF88CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓HдЇ░╧е_╖s╕Ї184л╤121~150╕╣,20.38,жэ,,,1050407,дgжa1л╪кл1иожь0,д@╝h,д╗╝h,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0931013,64.14,0,0,1,╡L,╡L,7000000,109136,,0.0,0,ж│д@╜├пD,RPRPMLKKNHLFFEF18CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓HдЇ░╧е_╖s╕Ї169л╤69з╦1~30╕╣,14.84,жэ,,,1050328,дgжa1л╪кл1иожь0,дT╝h,дC╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0861107,79.68,1,1,1,ж│,ж│,4400000,55221,,0.0,0,,RPQPMLLKNHLFFEF18CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел▓HдЇ░╧└╪о№╕Їд@мq301~330╕╣,21.41,жэ,,,1050406,дgжa1л╪кл1иожь1,дQд@╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980713,163.47,3,2,2,ж│,ж│,9850000,60256,йY╣Dенн▒,27.86,0,,RPUNMLMKNHLFFEF48CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓HдЇ░╧иF▒[╕Ї121~150╕╣,8.41,жэ,,,1050328,дgжa1л╪кл1иожь0,дQдE╝h,дGдQ╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840503,99.86,3,2,2,ж│,ж│,5500000,55077,,0.0,0,,RPTOMLMKNHLFFEF48CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл),╖sе_ел▓HдЇ░╧╛╟й▓╕Ї136л╤31~60╕╣,13.49,жэ,,,1050401,дgжa1л╪кл1иожь0,д╗╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0961002,64.49000000000001,3,0,3,ж│,╡L,4180000,64816,,0.0,0,,RPSPMLQKNHLFFEF88CA
дTк█░╧,й╨жa(дgжa+л╪кл),╖sе_елдTк█░╧╝╓е■╡є91~120╕╣,33.86,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1050418,дgжa1л╪кл2иожь0,дQе|╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850529,83.13999999999999,2,2,2,ж│,╡L,1800000,21650,,0.0,0,,RPVPMLQKNHLFFEF56CA
е█к∙░╧,дgжa,└Y│Ємqоrдl╕}дpмq31~60жa╕╣,363.67,╣A,,,1050420,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3600000,9899,,0.0,0,,RPUOMLTKNHLFFEF66CA
дKи╜░╧,дgжa,ж╠н▄мq91~120жa╕╣,4.31,жэ,,,1050412,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,584867,135700,,0.0,0,жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPVRMLLMNHLFFEF09CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел▓HдЇ░╧╖sмK╡є91л╤1~30╕╣,23.3,жэ,,,1050411,дgжa1л╪кл1иожь1,дQдн╝h,дQдC╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0860514,158.66,3,1,1,ж│,ж│,7000000,44122,йY╣Dенн▒,39.1,0,,RPTQMLSJOHLFFEF66CA
▓HдЇ░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_ел▓HдЇ░╧╕qдs╕Їд@мq181~210╕╣,26.68,жэ,,,1050314,дgжa1л╪кл1иожь1,дC╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040316,182.7,3,2,2,ж│,ж│,9800000,56033,йY╣Dенн▒,30.11,1250000,е╗╢R╜ц┴`╗∙980╕U(д║зtиожь╗∙┤┌125╕U)бAдgжa┤┌:677╕UбBй╨л╬┤┌:303╕UбC,RPQNMLLKOHLFFEF08CA
┬∙╖╦░╧,дgжa,дBдl─їз|мq751~780жa╕╣,1174.71,,дsйYжaлOи|░╧,кL╖~е╬жa,1050415,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,170000,145,,0.0,0,е[дJ╣A╖|╖|н√,RPTNMLKKNHLFFFF28CA
░^╝d░╧,дgжa,░^╝dмqд║╝dдpмq1231~1260жa╕╣,246.28,,дsйYжaлOи|░╧,╣Aкке╬жa,1050425,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,44000,179,,0.0,0,╣A╖|╖|н√,RPTNMLQLNHLFFFF98CA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧дTйM╕Їе|мq382л╤31~60╕╣,22.6,жэ,,,1050411,дgжa1л╪кл1иожь0,дн╝hбA╢зеx,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0691016,92.0,3,2,1,ж│,╡L,8000000,86957,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPSNMLNJNHLFFGF48CA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧дjжPе_╕Ї189л╤1~30╕╣,19.66,жэ,,,1050318,дgжa3л╪кл1иожь0,д@╝hбA├M╝╙,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),░╙╖~е╬,┐√╡м▓V╛одg│y,0670111,67.0,0,0,0,╡L,╡L,9100000,135821,,0.0,0,,RPPNMLOJNHLFFGF28CA
дTнл░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елдTнл░╧нл╖s╕Їе|мq91~120╕╣,12.33,░╙,,,1050408,дgжa2л╪кл1иожь1,е|╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0931104,142.65,4,2,2,ж│,ж│,17250000,120925,йY╣Dенн▒,23.01,0,╝Wл╪й╬еeе╬╜d│Є:╢зеxе~▒└,RPRNMLOJNHLFFGF48CA
дTнл░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елдTнл░╧е·┤_╕Їд@мq31~60╕╣,22.96,жэ,,,1050325,дgжa1л╪кл1иожь1,дQдG╝h,дTдQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√░й┐√╡м▓V╛одg│y,1040304,241.98000000000002,4,2,2,ж│,ж│,28570000,127548,йY╣Dенн▒,34.45,2100000,,RPUOMLPJNHLFFGF98CA
дTнл░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елдTнл░╧е·┤_╕Їд@мq31~60╕╣,20.41,жэ,,,1050408,дgжa1л╪кл1иожь1,дQдG╝h,дTдQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√░й┐√╡м▓V╛одg│y,1040304,215.79000000000002,3,2,2,ж│,ж│,25150000,127661,йY╣Dенн▒,34.45,2000000,,RPVOMLPJNHLFFGF09CA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧┤I║╓╡є61~90╕╣,23.4,жэ,,,1050401,дgжa1л╪кл1иожь0,дG╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0741104,87.9,3,1,2,ж│,╡L,8000000,91013,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPXOMLQJNHLFFGF76CA
дTнл░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елдTнл░╧└Їкeлn╕Ї1~30╕╣,11.85,░╙,,,1050317,дgжa3л╪кл1иожь1,дK╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0861024,121.9,3,2,2,ж│,ж│,6000000,49221,д╔н░╛ў▒ё,0.0,0,дG╡е┐╦╢R╜цбC,RPPPMLQJNHLFFGF68CA
дTнл░╧,й╨жa(дgжa+л╪кл),╖sе_елдTнл░╧ме╢з╡є1~30╕╣,22.26,жэ,,,1050412,дgжa1л╪кл1иожь0,дT╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0591005,80.88,2,2,1,ж│,╡L,6360000,78635,,0.0,0,,RPQPMLKKNHLFFGF28CA
